pair,obj_a,obj_b,co_occ_scene_counts,co_occ_phrase_counts,co_occ_phrase_prop,co_occ_anchored_counts,co_occ_anchored_prop,co_occ_type_counts,co_occ_type_prop,avg_distance_norm,avg_spatial_rel_norm
adding machine-birdcage,adding machine,birdcage,1,0,0,0,0,1,1,0.43246606130061255,-0.01828863346104692
adding machine-box,adding machine,box,1,1,1,0,0,1,1,0.23108625383073841,-0.013757557021324973
adding machine-cabinet,adding machine,cabinet,1,0,0,0,0,0,0,0.6549160521710297,0.268004560748531
adding machine-chair,adding machine,chair,7,4,0.5714285714285714,0,0,7,1,0.341288270862885,-0.04858034188736342
adding machine-computer monitor,adding machine,computer monitor,9,5,0.5555555555555556,0,0,9,1,0.3463202958744488,-0.187032547714834
adding machine-counter,adding machine,counter,1,0,0,0,0,1,1,0.6302686291955963,0.135400553249646
adding machine-desk,adding machine,desk,6,4,0.6666666666666666,2,0.3333333333333333,3,0.5,0.26925305096564384,-0.07809530417866549
adding machine-filing cabinet,adding machine,filing cabinet,2,1,0.5,0,0,2,1,0.4661982896086717,-0.199421160324392
adding machine-keyboard,adding machine,keyboard,3,2,0.6666666666666666,0,0,3,1,0.20441211868842016,-0.040541524668927666
adding machine-light,adding machine,light,1,0,0,0,0,1,1,0.44032836117283447,-0.372803759273883
adding machine-painting,adding machine,painting,7,4,0.5714285714285714,0,0,7,1,0.3800287984441444,-0.21773362151654127
adding machine-picture,adding machine,picture,1,1,1,0,0,1,1,0.36132737476350946,-0.320150702662722
adding machine-plant,adding machine,plant,2,0,0,0,0,2,1,0.6363269404718956,-0.14511075507824403
adding machine-poster,adding machine,poster,1,0,0,0,0,1,1,0.7371432252412828,-0.34194277078307395
adding machine-printer,adding machine,printer,2,2,1,0,0,2,1,0.13888665898565214,0.01993874754052055
adding machine-radio,adding machine,radio,1,0,0,0,0,1,1,0.5754007073643086,0.03326540207258005
adding machine-statue,adding machine,statue,1,0,0,0,0,1,1,0.3949197389894196,0.15859140057026405
adding machine-telephone,adding machine,telephone,3,1,0.3333333333333333,0,0,3,1,0.437122974994357,-0.11911811691032968
adding machine-typewriter,adding machine,typewriter,1,0,0,0,0,1,1,0.3270995591355194,-0.010866523708377929
advert-building,advert,building,4,3,0.75,0,0,3,0.75,0.414981390382652,-0.33349691064414577
advert-car,advert,car,10,1,0.1,1,0.1,9,0.9,0.5702926845557428,0.025879128268805403
advert-road,advert,road,1,0,0,0,0,1,1,0.5856054782600589,0.151556314202309
advert-tree,advert,tree,2,1,0.5,0,0,2,1,0.618025527366957,-0.35401293924749244
advert-truck,advert,truck,1,0,0,0,0,1,1,0.6578076666910182,-0.08400488105092202
air conditioner-air conditioner,air conditioner,air conditioner,8,6,0.75,1,0.125,5,0.625,0.26661713754213,-0.14736178905015285
air conditioner-awning,air conditioner,awning,5,1,0.2,0,0,5,1,0.45660062873555846,0.1790834191883888
air conditioner-balcony,air conditioner,balcony,1,1,1,0,0,1,1,0.3383350832120753,-0.320565547964697
air conditioner-bench,air conditioner,bench,9,9,1,3,0.3333333333333333,6,0.6666666666666666,0.15771407405939342,0.09203747811669867
air conditioner-bicycle,air conditioner,bicycle,4,0,0,0,0,4,1,0.2950970459695428,0.25933079903274703
air conditioner-building,air conditioner,building,19,8,0.42105263157894735,7,0.3684210526315789,5,0.2631578947368421,0.3501832117849147,0.10411800706058467
air conditioner-car,air conditioner,car,32,1,0.03125,1,0.03125,19,0.59375,0.6425523102862889,0.5064256137116517
air conditioner-drinking fountain,air conditioner,drinking fountain,3,0,0,0,0,3,1,0.20768199013218386,-0.07781767517704634
air conditioner-entrance,air conditioner,entrance,1,1,1,0,0,1,1,0.2387993960578324,0.19244288158939699
air conditioner-fire escape,air conditioner,fire escape,2,2,1,0,0,2,1,0.2367450166400325,-0.16318881730983453
air conditioner-flag,air conditioner,flag,2,0,0,0,0,1,0.5,0.84263919543464,0.0729688771211065
air conditioner-grass,air conditioner,grass,4,0,0,0,0,2,0.5,0.407985784544749,0.36382886374342016
air conditioner-lamp,air conditioner,lamp,1,0,0,0,0,1,1,0.3821059870216217,0.283857309555371
air conditioner-light,air conditioner,light,2,1,0.5,0,0,1,0.5,0.2579563275682135,0.12585927833676047
air conditioner-mountain,air conditioner,mountain,2,2,1,0,0,2,1,0.5487627180141821,-0.4129191962727125
air conditioner-person,air conditioner,person,9,1,0.1111111111111111,0,0,6,0.6666666666666666,0.6300725191285863,0.49341593100591985
air conditioner-picture,air conditioner,picture,45,18,0.4,0,0,42,0.9333333333333333,0.36468764090111044,-0.19608998650871648
air conditioner-plant,air conditioner,plant,12,0,0,0,0,8,0.6666666666666666,0.5135476596505026,0.35574275136739875
air conditioner-plant pot,air conditioner,plant pot,2,0,0,0,0,1,0.5,0.650757854087184,0.539437167397389
air conditioner-pole,air conditioner,pole,2,0,0,0,0,2,1,0.7214551798792614,0.70073672040867
air conditioner-poster,air conditioner,poster,3,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,0.35751574139814213,0.27643475450867566
air conditioner-road,air conditioner,road,13,0,0,0,0,7,0.5384615384615384,0.6524256672833462,0.5821430847024992
air conditioner-rock,air conditioner,rock,2,0,0,0,0,2,1,0.43949319830756595,0.4271226591633015
air conditioner-shop window,air conditioner,shop window,13,0,0,0,0,7,0.5384615384615384,0.5480725901771694,0.41377557498469325
air conditioner-sidewalk,air conditioner,sidewalk,12,0,0,0,0,8,0.6666666666666666,0.6933678713504856,0.6054153563084492
